Indicator ID,WB Code,Indicator,Pillar,Direction,ISO3,Country,Year,Value,Unit,ObservationStatus,Decimals,SourceLastUpdated,RetrievedAt
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ARG,Argentina,2022,100.310147105379,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ARG,Argentina,2021,102.877639887141,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ARG,Argentina,2020,99.8427784444202,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ARG,Argentina,2019,100.286471247217,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ARG,Argentina,2018,100.145531751709,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ARM,Armenia,2024,98.213668887244,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ARM,Armenia,2023,94.3309098054628,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ARM,Armenia,2022,93.8248282630029,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ARM,Armenia,2021,94.2158819806222,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ARM,Armenia,2020,94.3636628896562,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ARM,Armenia,2019,93.5630099728015,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ARM,Armenia,2018,88.8457640107785,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ABW,Aruba,2022,93.8329391479492,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ABW,Aruba,2021,95.7777786254883,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ABW,Aruba,2020,104.266471862793,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ABW,Aruba,2019,101.90274810791,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,ABW,Aruba,2018,96.1325988769531,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AUT,Austria,2024,96.7410430908203,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AUT,Austria,2023,98.030403137207,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AUT,Austria,2022,97.1591720581055,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AUT,Austria,2021,99.8165130615234,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AUT,Austria,2020,97.6123962402344,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AUT,Austria,2019,99.4589767456055,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,AUT,Austria,2018,97.7539825439453,,,0,2026-07-13,2026-08-20 16:40:35.313
